Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Manufacturing,1
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Construction,24
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,42
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,1
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,85
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Information and Communications,123
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,4
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",171
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,330
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,44
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Education,1206
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,361
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",6878
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,548
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,10
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,40
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",8
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,63
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Manufacturing,166
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",32
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Construction,65
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,87
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,26
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,539
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Information and Communications,1067
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,513
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Real estate activities,5
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",670
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,69
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,133
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Education,758
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,1762
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",85
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,89
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,1
2010,2010 Q3,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,1
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Education,19
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,2
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",28
2010,2010 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,20
